SA_POS,ADJ_PREV,HAS_RC,TEXT,CENT
BEFORE,N,Y,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,N,firstgrammar,12
BEFORE,N,Y,firstgrammar,12
AFTER,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
AFTER,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
AFTER,N,Y,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,Y,homiliubok,12
AFTER,N,Y,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,Y,homiliubok,12
AFTER,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
BEFORE,N,Y,homiliubok,12
BEFORE,N,N,homiliubok,12
BEFORE,N,Y,homiliubok,12
AFTER,N,Y,homiliubok,12
